#TLD,TYPE
frontdoor,generic
frontier,generic
ftr,generic
fujitsu,generic
fujixerox,generic
fun,generic
fund,generic
furniture,generic
futbol,generic
fyi,generic
ga,country-code
gal,generic
gallery,generic
gallo,generic
gallup,generic
game,generic
games,generic
gap,generic
garden,generic
gay,generic
gb,country-code
gbiz,generic
gd,country-code
gdn,generic
ge,country-code
gea,generic
gent,generic
genting,generic
george,generic
gf,country-code
gg,country-code
ggee,generic
gh,country-code
gi,country-code
gift,generic
gifts,generic
gives,generic
giving,generic
gl,country-code
glade,generic
glass,generic
gle,generic
global,generic
globo,generic
gm,country-code
gmail,generic
gmbh,generic
gmo,generic
gmx,generic
gn,country-code
godaddy,generic
gold,generic
goldpoint,generic
golf,generic
goo,generic
goodhands,generic
goodyear,generic
goog,generic
google,generic
gop,generic
got,generic
gov,sponsored
gp,country-code
gq,country-code
gr,country-code
grainger,generic
graphics,generic
gratis,generic
green,generic
gripe,generic
grocery,generic
group,generic
gs,country-code
gt,country-code
gu,country-code
guardian,generic
gucci,generic
guge,generic
guide,generic
guitars,generic
guru,generic
gw,country-code
gy,country-code
hair,generic
hamburg,generic
hangout,generic
haus,generic
hbo,generic
hdfc,generic
hdfcbank,generic
health,generic
healthcare,generic
help,generic
helsinki,generic
here,generic
hermes,generic
hgtv,generic
hiphop,generic
hisamitsu,generic
hitachi,generic
hiv,generic
hk,country-code
hkt,generic
hm,country-code
hn,country-code
hockey,generic
holdings,generic
holiday,generic
homedepot,generic
homegoods,generic
homes,generic
homesense,generic
honda,generic
honeywell,generic
horse,generic
hospital,generic
host,generic
hosting,generic
hot,generic
hoteles,generic
hotels,generic
hotmail,generic
house,generic
how,generic
hr,country-code
hsbc,generic
ht,country-code
htc,generic
hu,country-code
hughes,generic
hyatt,generic
hyundai,generic
ibm,generic
icbc,generic
ice,generic
icu,generic
id,country-code
ie,country-code
ieee,generic
ifm,generic
iinet,generic
ikano,generic
il,country-code
im,country-code
imamat,generic
imdb,generic
immo,generic
immobilien,generic
in,country-code
inc,generic
industries,generic
infiniti,generic
info,generic
ing,generic
ink,generic
institute,generic
insurance,generic
insure,generic
int,sponsored
intel,generic
international,generic
intuit,generic
investments,generic
io,country-code
ipiranga,generic
iq,country-code
ir,country-code
irish,generic
is,country-code
iselect,generic
ismaili,generic
ist,generic
istanbul,generic
it,country-code
itau,generic
itv,generic
iveco,generic
iwc,generic
jaguar,generic
java,generic
jcb,generic
jcp,generic
je,country-code
jeep,generic
jetzt,generic
jewelry,generic
jio,generic
jlc,generic
jll,generic
jm,country-code
jmp,generic
jnj,generic
jo,country-code
jobs,sponsored
joburg,generic
jot,generic
joy,generic
jp,country-code
jpmorgan,generic
jprs,generic
juegos,generic
juniper,generic
kaufen,generic
kddi,generic
ke,country-code
kerryhotels,generic
kerrylogistics,generic
kerryproperties,generic
kfh,generic
kg,country-code
kh,country-code
ki,country-code
kia,generic
kim,generic
kinder,generic
kindle,generic
kitchen,generic
kiwi,generic
km,country-code
kn,country-code
koeln,generic
komatsu,generic
kosher,generic
kp,country-code
kpmg,generic
kpn,generic
kr,country-code
krd,generic
kred,generic
kuokgroup,generic
kw,country-code
ky,country-code
kyoto,generic
kz,country-code
la,country-code
lacaixa,generic
ladbrokes,generic
lamborghini,generic
lamer,generic
lancaster,generic
lancia,generic
lancome,generic
land,generic
landrover,generic
lanxess,generic
lasalle,generic
lat,generic
latino,generic
latrobe,generic
law,generic
lawyer,generic
lb,country-code
lc,country-code
lds,generic
lease,generic
leclerc,generic
lefrak,generic
legal,generic
lego,generic
lexus,generic
lgbt,generic
li,country-code
liaison,generic
lidl,generic
life,generic
lifeinsurance,generic
lifestyle,generic
lighting,generic
like,generic
lilly,generic
limited,generic
limo,generic
lincoln,generic
linde,generic
link,generic
